Date,Carbohydrates
18/09/2018 18:33,8
18/09/2018 20:54,26
19/09/2018 04:02,8
19/09/2018 07:05,15
19/09/2018 07:08,15
19/09/2018 09:13,40
19/09/2018 13:49,20
19/09/2018 14:18,45
19/09/2018 16:47,0
19/09/2018 17:59,10
19/09/2018 21:30,40
19/09/2018 22:04,25
19/09/2018 22:11,0
20/09/2018 00:20,0
20/09/2018 09:15,40
20/09/2018 13:20,18
20/09/2018 14:18,43
20/09/2018 14:35,15
20/09/2018 15:45,0
20/09/2018 17:24,10
20/09/2018 19:45,20
20/09/2018 21:01,45
21/09/2018 00:10,13
22/09/2018 19:03,13
22/09/2018 19:23,15
22/09/2018 23:04,5
23/09/2018 01:01,13
23/09/2018 09:44,10
23/09/2018 09:53,36
23/09/2018 14:39,30
23/09/2018 15:31,0
23/09/2018 16:09,0
23/09/2018 17:20,0
23/09/2018 18:55,12
23/09/2018 20:08,0
23/09/2018 21:17,70
24/09/2018 00:07,0
24/09/2018 09:41,40
24/09/2018 13:39,30
24/09/2018 16:01,10
24/09/2018 16:52,0
24/09/2018 18:48,1
24/09/2018 20:41,40
24/09/2018 21:23,25
24/09/2018 22:29,1
25/09/2018 00:42,1
25/09/2018 09:44,40
25/09/2018 13:37,56
25/09/2018 16:28,13
25/09/2018 19:14,40
25/09/2018 19:35,36
25/09/2018 21:35,1
25/09/2018 23:27,2
26/09/2018 09:27,40
26/09/2018 12:24,13
26/09/2018 13:54,30
26/09/2018 14:47,1
26/09/2018 19:45,8
26/09/2018 20:54,40
26/09/2018 21:35,30
26/09/2018 23:20,1
27/09/2018 00:39,1
27/09/2018 09:08,40
27/09/2018 14:07,40
27/09/2018 16:52,1
27/09/2018 18:16,12
27/09/2018 18:41,15
27/09/2018 21:28,42
27/09/2018 22:24,30
28/09/2018 00:44,1
28/09/2018 01:07,1
28/09/2018 09:59,40
28/09/2018 14:13,40
28/09/2018 15:49,1
28/09/2018 18:19,1
28/09/2018 20:33,70
28/09/2018 22:15,1
29/09/2018 10:17,48
29/09/2018 11:50,1
29/09/2018 13:48,32
29/09/2018 14:47,1
29/09/2018 16:43,10
29/09/2018 17:19,1
29/09/2018 17:56,1
29/09/2018 21:03,30
29/09/2018 21:59,30
29/09/2018 23:54,12
30/09/2018 09:31,55
30/09/2018 13:13,44
30/09/2018 19:13,1
30/09/2018 20:10,20
30/09/2018 20:38,40
01/10/2018 08:08,45
01/10/2018 08:45,2
01/10/2018 13:11,40
01/10/2018 20:40,1
01/10/2018 21:25,40
01/10/2018 22:04,28
02/10/2018 08:16,44
02/10/2018 10:44,15
02/10/2018 12:46,25
02/10/2018 14:08,1
02/10/2018 20:12,25
02/10/2018 20:52,1
05/10/2018 13:00,1
05/10/2018 13:34,40
05/10/2018 21:38,55
06/10/2018 00:21,1
06/10/2018 04:55,10
06/10/2018 09:49,60
06/10/2018 12:12,10
06/10/2018 14:33,36
06/10/2018 14:46,20
06/10/2018 17:36,1
06/10/2018 19:39,40
06/10/2018 23:15,1
07/10/2018 00:00,25
07/10/2018 11:03,45
07/10/2018 12:57,10
07/10/2018 14:40,10
07/10/2018 16:27,15
07/10/2018 20:36,70
07/10/2018 23:48,1
08/10/2018 09:30,40
08/10/2018 13:20,40
08/10/2018 18:29,5
08/10/2018 19:14,36
08/10/2018 19:36,30
08/10/2018 19:40,30
08/10/2018 23:05,1
09/10/2018 01:09,18
09/10/2018 06:25,10
09/10/2018 09:14,40
09/10/2018 11:31,20
09/10/2018 14:38,49
09/10/2018 18:11,10
09/10/2018 19:41,40
10/10/2018 00:04,40
10/10/2018 01:06,1
10/10/2018 10:29,20
10/10/2018 13:56,1
10/10/2018 14:31,23
10/10/2018 19:04,20
10/10/2018 21:06,36
10/10/2018 21:22,28
11/10/2018 00:07,1
11/10/2018 00:47,1
11/10/2018 09:44,20
11/10/2018 09:56,30
11/10/2018 10:19,1
11/10/2018 10:43,1
11/10/2018 19:41,40
12/10/2018 08:50,40
12/10/2018 16:40,1
12/10/2018 20:39,40
12/10/2018 21:15,28
12/10/2018 23:15,10
13/10/2018 00:30,1
13/10/2018 09:45,10
13/10/2018 09:57,50
13/10/2018 13:30,8
13/10/2018 14:33,46
13/10/2018 20:01,20
13/10/2018 20:35,26
13/10/2018 21:32,12
14/10/2018 04:52,1
14/10/2018 10:13,40
14/10/2018 15:02,40
14/10/2018 21:08,40
14/10/2018 21:31,30
15/10/2018 09:43,40
15/10/2018 14:49,28
15/10/2018 21:30,68
16/10/2018 02:14,5
16/10/2018 13:12,1
16/10/2018 14:14,40
16/10/2018 17:01,10
16/10/2018 18:57,10
16/10/2018 19:09,20
16/10/2018 19:16,48
17/10/2018 00:00,22
17/10/2018 09:38,40
17/10/2018 13:57,40
17/10/2018 16:55,15
17/10/2018 20:48,70
17/10/2018 23:01,1
18/10/2018 00:10,1
18/10/2018 00:29,1
18/10/2018 05:20,10
18/10/2018 08:18,40
18/10/2018 10:10,1
18/10/2018 14:37,41
18/10/2018 16:11,22
18/10/2018 19:00,1
18/10/2018 20:36,36
19/10/2018 09:25,40
19/10/2018 13:19,35
19/10/2018 21:06,30
19/10/2018 21:53,40
19/10/2018 22:49,1
20/10/2018 01:09,1
20/10/2018 10:20,10
20/10/2018 10:21,50
20/10/2018 14:04,40
20/10/2018 19:36,1
20/10/2018 20:06,1
20/10/2018 20:49,40
21/10/2018 09:11,45
21/10/2018 14:52,40
21/10/2018 20:20,10
21/10/2018 20:38,40
21/10/2018 21:04,29
22/10/2018 00:03,10
22/10/2018 10:17,40
22/10/2018 11:28,1
22/10/2018 13:21,45
22/10/2018 20:45,40
22/10/2018 21:13,33
23/10/2018 09:30,40
23/10/2018 14:38,40
23/10/2018 19:33,1
23/10/2018 20:45,24
24/10/2018 09:47,40
24/10/2018 14:01,40
24/10/2018 18:44,10
24/10/2018 18:48,10
24/10/2018 18:49,10
24/10/2018 20:42,70
24/10/2018 21:52,1
24/10/2018 23:18,1
25/10/2018 00:18,1
25/10/2018 09:27,40
25/10/2018 12:09,1
25/10/2018 14:05,40
25/10/2018 17:45,20
25/10/2018 17:49,20
25/10/2018 18:28,30
25/10/2018 18:50,30
25/10/2018 22:55,23
26/10/2018 10:06,40
26/10/2018 13:36,36
26/10/2018 16:51,5
26/10/2018 20:46,40
26/10/2018 21:20,30
26/10/2018 21:52,1
27/10/2018 00:31,1
27/10/2018 01:11,1
27/10/2018 10:00,60
27/10/2018 14:28,30
27/10/2018 20:59,70
28/10/2018 00:00,16
28/10/2018 10:00,60
28/10/2018 12:16,1
28/10/2018 13:08,36
28/10/2018 16:13,10
28/10/2018 19:58,70
28/10/2018 21:56,1
28/10/2018 23:38,1
29/10/2018 00:07,1
29/10/2018 00:13,0
29/10/2018 08:36,40
29/10/2018 10:32,0
29/10/2018 13:20,40
29/10/2018 13:53,23
29/10/2018 18:30,20
29/10/2018 18:50,40
29/10/2018 20:21,10
29/10/2018 23:53,0
30/10/2018 08:21,40
30/10/2018 11:38,0
30/10/2018 12:20,40
30/10/2018 18:52,50
30/10/2018 19:29,0
30/10/2018 22:24,0
30/10/2018 23:15,0
31/10/2018 08:44,40
31/10/2018 10:47,0
31/10/2018 12:31,36
31/10/2018 17:19,25
31/10/2018 18:27,10
31/10/2018 19:18,40
31/10/2018 23:56,0
01/11/2018 00:11,0
01/11/2018 08:22,40
01/11/2018 12:34,40
01/11/2018 17:34,9
01/11/2018 19:19,70
01/11/2018 22:39,25
02/11/2018 09:02,40
02/11/2018 12:45,23
02/11/2018 13:14,43
02/11/2018 17:33,12
02/11/2018 18:01,9
02/11/2018 19:51,38
02/11/2018 20:20,36
02/11/2018 20:52,0
02/11/2018 21:19,0
02/11/2018 22:26,1
03/11/2018 08:58,60
03/11/2018 11:43,0
03/11/2018 14:16,38
03/11/2018 18:20,20
03/11/2018 18:42,38
04/11/2018 00:00,1
04/11/2018 09:28,46
04/11/2018 11:58,0
04/11/2018 12:41,36
04/11/2018 19:30,40
04/11/2018 20:03,30
05/11/2018 08:18,40
05/11/2018 12:46,40
05/11/2018 16:24,0
05/11/2018 17:42,1
05/11/2018 18:48,1
05/11/2018 19:34,40
05/11/2018 19:59,26
06/11/2018 04:31,10
06/11/2018 07:10,40
06/11/2018 10:46,20
06/11/2018 12:52,41
06/11/2018 17:47,40
06/11/2018 22:02,26
07/11/2018 07:16,40
07/11/2018 10:41,10
07/11/2018 12:32,40
07/11/2018 12:45,40
07/11/2018 19:40,40
07/11/2018 23:32,25
08/11/2018 08:16,40
08/11/2018 11:27,20
08/11/2018 11:45,5
08/11/2018 13:21,44
08/11/2018 20:06,70
08/11/2018 21:47,0
08/11/2018 22:23,0
08/11/2018 23:37,0
09/11/2018 03:37,20
09/11/2018 09:09,40
09/11/2018 12:31,40
09/11/2018 15:42,15
09/11/2018 19:43,70
10/11/2018 00:22,0
10/11/2018 09:58,14
10/11/2018 13:33,36
10/11/2018 19:53,70
11/11/2018 09:46,50
11/11/2018 12:44,40
11/11/2018 15:57,24
11/11/2018 19:43,70
12/11/2018 08:28,40
12/11/2018 12:41,34
12/11/2018 17:06,24
12/11/2018 19:39,32
13/11/2018 08:38,40
13/11/2018 12:49,40
13/11/2018 17:38,20
13/11/2018 20:03,40
13/11/2018 20:29,40
13/11/2018 20:53,20
13/11/2018 21:04,20
14/11/2018 00:25,0
14/11/2018 07:55,30
14/11/2018 10:40,35
14/11/2018 13:26,20
14/11/2018 14:24,40
14/11/2018 15:32,30
14/11/2018 23:21,0
15/11/2018 00:18,30
15/11/2018 10:59,20
15/11/2018 11:54,20
15/11/2018 22:23,20
16/11/2018 01:41,15
16/11/2018 05:06,25
16/11/2018 06:31,1
16/11/2018 11:00,20
16/11/2018 14:26,20
16/11/2018 15:18,48
16/11/2018 15:53,21
16/11/2018 15:54,21
16/11/2018 20:26,45
16/11/2018 21:05,0
17/11/2018 01:53,20
17/11/2018 02:49,40
17/11/2018 03:23,36
17/11/2018 16:28,50
17/11/2018 21:02,40
18/11/2018 04:25,70
18/11/2018 11:36,18
18/11/2018 18:12,10
18/11/2018 20:22,20
19/11/2018 00:28,20
19/11/2018 05:14,36
19/11/2018 07:53,20
19/11/2018 15:47,44
19/11/2018 16:24,0
19/11/2018 20:41,30
19/11/2018 23:45,30
20/11/2018 00:59,17
20/11/2018 04:20,30
20/11/2018 06:00,20
20/11/2018 15:56,1
20/11/2018 16:08,43
20/11/2018 19:29,30
20/11/2018 22:04,40
20/11/2018 23:57,1
21/11/2018 01:33,10
21/11/2018 02:35,41
21/11/2018 07:58,20
21/11/2018 11:31,25
21/11/2018 11:32,25
21/11/2018 16:19,40
21/11/2018 17:32,1
21/11/2018 20:03,20
21/11/2018 20:44,40
22/11/2018 04:56,40
22/11/2018 15:44,20
22/11/2018 16:23,50
22/11/2018 16:54,1
22/11/2018 21:40,30
22/11/2018 23:18,1
22/11/2018 23:47,11
23/11/2018 04:39,40
23/11/2018 08:35,44
23/11/2018 09:19,1
23/11/2018 10:10,1
23/11/2018 13:23,15
23/11/2018 14:53,1
23/11/2018 15:22,20
23/11/2018 16:18,50
23/11/2018 16:35,15
23/11/2018 16:41,20
23/11/2018 17:20,2
23/11/2018 20:09,65
23/11/2018 21:13,2
23/11/2018 21:14,2
23/11/2018 23:39,40
23/11/2018 23:59,0
24/11/2018 00:08,2
24/11/2018 00:42,2
24/11/2018 01:51,5
24/11/2018 02:11,2
24/11/2018 04:17,20
24/11/2018 09:04,60
24/11/2018 14:07,35
24/11/2018 17:44,9
24/11/2018 20:03,70
25/11/2018 09:37,40
25/11/2018 13:41,36
25/11/2018 16:05,20
25/11/2018 17:18,1
25/11/2018 19:39,75
25/11/2018 23:35,1
26/11/2018 00:04,0
26/11/2018 07:39,50
26/11/2018 12:12,42
26/11/2018 19:31,0
26/11/2018 20:01,20
26/11/2018 20:34,40
26/11/2018 21:29,1
26/11/2018 23:59,1
27/11/2018 08:21,40
27/11/2018 12:53,38
27/11/2018 18:03,25
27/11/2018 18:20,40
27/11/2018 18:55,1
27/11/2018 21:36,1
27/11/2018 22:50,1
27/11/2018 23:53,2
28/11/2018 08:04,60
28/11/2018 11:19,2
28/11/2018 11:58,40
28/11/2018 13:25,5
28/11/2018 13:53,9
28/11/2018 14:49,5
28/11/2018 19:34,70
28/11/2018 20:44,1
28/11/2018 22:13,1
29/11/2018 00:20,2
29/11/2018 02:38,0
29/11/2018 07:54,25
29/11/2018 08:36,40
29/11/2018 13:29,40